DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
SOUTH ANDAMAN,1950,0.8,0.0,0.0,95.5,264.2,369.9,366.7,347.3,494.5,224.6,89.3,169.4
SOUTH ANDAMAN,1951,82.7,7.2,0.0,45.4,259.0,619.9,665.3,101.3,360.9,489.0,209.6,434.8
SOUTH ANDAMAN,1952,0.0,0.8,69.7,39.4,452.9,657.7,385.5,541.3,240.3,315.6,287.5,89.2
SOUTH ANDAMAN,1953,27.0,78.4,0.0,133.4,261.7,481.0,561.3,308.2,399.6,299.5,262.0,65.7
SOUTH ANDAMAN,1954,37.4,0.5,35.3,56.9,451.8,611.8,599.7,817.0,1123.0,175.1,35.1,84.2
SOUTH ANDAMAN,1955,71.3,22.1,4.6,67.6,708.8,564.1,305.6,497.5,379.6,382.1,314.8,21.1
SOUTH ANDAMAN,1956,46.3,70.6,33.8,146.8,374.2,374.7,373.2,562.5,299.0,510.8,163.6,76.5
SOUTH ANDAMAN,1957,10.2,15.8,0.0,8.6,144.8,925.1,391.1,591.3,369.0,344.9,76.8,6.9
SOUTH ANDAMAN,1958,28.7,2.6,1.9,0.0,382.6,543.5,477.3,457.3,427.4,262.9,470.9,77.5
SOUTH ANDAMAN,1959,0.4,0.0,18.5,110.6,260.0,636.8,929.9,310.3,605.9,397.2,220.4,95.7
SOUTH ANDAMAN,1960,95.5,23.1,0.0,37.8,667.3,545.8,286.0,290.1,486.5,423.2,132.2,93.5
SOUTH ANDAMAN,1961,62.8,180.1,39.2,109.0,1060.6,412.3,357.4,721.6,705.1,328.1,310.9,83.3
SOUTH ANDAMAN,1962,177.7,13.6,0.0,36.0,305.5,423.5,449.6,465.7,521.7,228.9,145.1,493.1
SOUTH ANDAMAN,1963,70.9,8.2,12.7,122.4,234.3,433.6,326.8,684.6,609.0,367.1,95.0,269.8
SOUTH ANDAMAN,1964,16.2,2.7,0.0,3.1,587.9,592.3,354.3,468.8,662.4,217.9,394.3,23.9
SOUTH ANDAMAN,1965,10.2,25.9,21.4,54.1,322.6,409.9,421.4,430.0,577.8,313.1,121.4,507.9
SOUTH ANDAMAN,1966,70.0,0.0,1.6,42.0,462.6,124.7,527.0,311.6,556.3,174.1,378.3,279.5
SOUTH ANDAMAN,1967,146.5,13.9,3.9,31.8,619.9,372.9,634.7,722.5,326.0,534.6,123.9,74.6
SOUTH ANDAMAN,1968,8.6,1.4,0.2,69.1,233.4,477.8,551.0,263.7,493.9,228.7,181.5,110.7
SOUTH ANDAMAN,1969,139.8,123.2,0.0,27.2,369.2,253.0,190.0,296.2,623.2,89.8,376.2,58.6
SOUTH ANDAMAN,1970,31.5,3.6,0.0,36.6,453.1,464.5,707.4,326.7,628.7,399.6,457.1,154.8
SOUTH ANDAMAN,1971,3.3,10.3,17.9,36.9,375.1,353.5,441.2,417.4,620.6,568.6,192.1,88.9
SOUTH ANDAMAN,1972,20.2,2.0,2.3,150.6,478.8,637.2,467.3,447.7,411.8,314.1,556.5,152.6
SOUTH ANDAMAN,1973,7.7,12.2,23.6,14.8,430.0,553.0,324.5,458.3,364.3,198.7,316.8,224.1
SOUTH ANDAMAN,1974,8.2,32.7,10.1,445.8,286.6,317.8,265.6,409.8,317.6,461.7,443.4,55.4
SOUTH ANDAMAN,1975,161.1,26.0,1.0,18.4,296.0,668.0,155.8,347.0,373.0,351.3,308.1,115.9
SOUTH ANDAMAN,1976,48.0,1.1,0.0,182.3,480.3,525.3,344.4,555.8,309.8,172.6,335.8,443.6
SOUTH ANDAMAN,1977,91.1,32.5,4.8,6.9,316.0,325.7,343.6,315.6,394.0,265.0,103.1,17.3
SOUTH ANDAMAN,1978,114.3,45.5,10.0,52.5,456.3,429.9,709.8,299.8,275.4,229.5,100.7,12.6
SOUTH ANDAMAN,1979,30.2,7.5,0.0,75.0,154.6,266.1,404.0,143.7,336.2,149.5,38.4,1.7
SOUTH ANDAMAN,1980,0.0,0.0,0.0,,798.3,576.3,500.4,455.8,327.5,180.3,99.1,709.7
SOUTH ANDAMAN,1981,12.0,12.9,0.0,111.3,286.3,571.4,321.8,492.8,508.2,296.8,289.5,202.6
SOUTH ANDAMAN,1982,3.2,0.1,4.9,141.4,,489.1,439.2,336.0,490.9,,277.7,22.9
SOUTH ANDAMAN,1983,11.8,0.0,0.0,0.0,217.9,389.5,653.5,590.0,493.5,350.8,280.0,84.2
SOUTH ANDAMAN,1984,48.3,234.9,16.1,121.6,232.7,618.5,632.4,150.9,362.2,345.3,195.0,506.4
SOUTH ANDAMAN,1985,6.6,6.6,13.2,74.8,330.1,512.8,248.8,337.5,346.5,408.0,252.7,74.7
SOUTH ANDAMAN,1986,9.2,0.5,0.2,2.2,299.1,350.2,209.1,490.6,357.1,106.7,207.3,18.4
SOUTH ANDAMAN,1987,123.4,23.2,17.1,7.7,155.3,364.2,27.1,666.1,453.2,311.4,306.0,257.9
SOUTH ANDAMAN,1988,0.4,24.7,29.5,87.9,275.3,263.8,602.8,422.9,748.5,304.4,561.6,41.6
SOUTH ANDAMAN,1989,50.3,0.0,43.1,21.2,443.1,397.7,475.6,582.5,208.5,351.6,272.1,0.7
SOUTH ANDAMAN,1990,0.0,0.0,34.2,89.0,471.3,344.9,230.4,325.3,332.2,146.4,370.3,58.0
SOUTH ANDAMAN,1991,10.9,0.0,19.5,110.4,220.1,168.4,489.1,528.5,476.0,328.3,165.1,29.5
SOUTH ANDAMAN,1992,144.2,0.0,0.0,0.0,302.8,456.6,473.8,400.8,403.2,269.1,13.9,5.3
SOUTH ANDAMAN,1993,14.6,0.0,17.0,29.8,201.8,285.6,485.6,237.0,468.1,269.3,182.6,44.3
SOUTH ANDAMAN,1994,0.6,22.7,151.9,151.7,438.4,436.8,552.5,366.3,690.3,127.5,116.0,23.5
SOUTH ANDAMAN,1995,26.1,0.4,12.4,31.5,223.1,591.5,514.8,603.3,349.8,273.8,448.0,4.4
SOUTH ANDAMAN,1996,46.8,4.8,0.3,113.9,330.6,662.0,343.5,364.8,795.0,437.3,267.8,178.8
SOUTH ANDAMAN,1997,4.6,0.0,0.6,19.0,314.2,185.7,918.5,430.6,440.2,128.7,292.8,38.4
SOUTH ANDAMAN,1998,0.9,0.0,0.0,0.0,348.9,600.0,364.5,258.9,337.8,618.6,227.8,38.2
SOUTH ANDAMAN,1999,83.4,49.0,16.9,392.0,351.1,319.4,408.5,409.3,316.9,427.8,117.9,193.2
SOUTH ANDAMAN,2000,32.5,85.5,200.0,210.4,468.3,383.6,211.0,572.5,258.3,300.7,141.1,79.6
SOUTH ANDAMAN,2001,122.4,2.5,152.3,16.4,775.2,327.9,305.9,322.8,431.6,264.7,135.1,79.2
SOUTH ANDAMAN,2002,0.3,0.0,7.0,86.0,436.1,289.4,326.9,230.7,306.0,60.3,343.4,118.0
SOUTH ANDAMAN,2003,10.9,0.1,142.6,13.3,350.6,227.1,608.7,360.6,317.0,301.0,56.8,69.9
SOUTH ANDAMAN,2004,52.1,25.9,37.5,31.2,594.9,413.5,401.4,315.4,360.4,270.3,257.5,0.9
SOUTH ANDAMAN,2005,0.0,,3.4,42.7,312.5,644.3,547.1,379.1,444.0,404.6,373.5,308.0
SOUTH ANDAMAN,2006,13.7,0.9,17.6,161.1,403.8,380.8,152.6,244.5,679.5,485.5,81.1,82.6
SOUTH ANDAMAN,2007,0.0,0.0,0.0,41.3,307.5,442.0,240.9,489.1,509.5,284.1,251.4,152.0
SOUTH ANDAMAN,2008,6.3,25.4,123.0,287.9,626.0,319.0,520.9,510.8,375.0,256.6,392.2,88.3
SOUTH ANDAMAN,2009,0.0,0.0,45.6,153.7,403.9,507.5,134.0,336.1,352.9,229.1,86.9,62.6
SOUTH ANDAMAN,2010,82.4,0.0,0.0,11.7,252.6,435.7,488.9,438.2,243.6,376.4,298.6,319.6
NICOBAR,1950,,,,,,,,,,,,
NICOBAR,1951,,,,,,,,,,,,
NICOBAR,1952,,,,,,,,,,,,
NICOBAR,1953,194.8,139.3,79.8,156.6,347.3,330.3,264.5,110.4,411.2,247.1,234.9,138.0
NICOBAR,1954,288.0,8.2,87.3,132.0,478.6,410.0,326.5,455.4,362.2,339.7,169.6,294.8
NICOBAR,1955,111.7,87.7,35.9,128.4,464.9,468.7,211.6,271.5,251.5,480.2,432.6,131.5
NICOBAR,1956,140.6,189.2,93.5,256.0,473.0,287.5,353.8,378.5,387.2,374.3,201.4,185.4
NICOBAR,1957,126.3,16.0,29.5,70.8,246.9,339.8,330.0,169.5,283.3,217.2,223.7,312.0
NICOBAR,1958,54.0,58.4,130.3,25.9,375.2,613.9,410.0,366.9,242.0,401.0,303.8,130.0
NICOBAR,1959,15.1,8.1,59.8,82.6,204.4,234.0,449.6,354.0,392.7,334.8,294.8,210.3
NICOBAR,1960,118.8,92.7,53.1,132.6,487.5,315.1,247.0,122.2,550.5,328.9,346.9,158.1
NICOBAR,1961,164.3,78.0,73.3,115.6,592.3,211.8,159.7,263.0,225.5,476.8,296.7,373.6
NICOBAR,1962,235.4,3.0,74.1,81.7,370.4,168.4,323.7,366.6,346.9,288.9,171.0,429.9
NICOBAR,1963,222.0,87.2,11.3,59.8,327.5,355.2,121.8,323.0,433.6,341.3,165.8,156.7
NICOBAR,1964,215.5,91.6,13.5,30.9,473.1,212.0,240.2,296.6,379.1,250.3,370.0,331.0
NICOBAR,1965,5.0,62.5,47.8,68.8,412.1,50.7,190.8,372.7,393.7,281.9,295.6,488.3
NICOBAR,1966,135.4,18.2,49.9,88.7,468.1,168.3,223.8,434.1,366.1,267.1,411.1,398.2
NICOBAR,1967,229.2,72.0,97.8,95.8,559.8,263.6,254.5,247.4,202.4,433.4,188.9,164.7
NICOBAR,1968,70.0,3.3,11.8,100.1,349.1,432.4,243.9,120.3,300.9,342.7,210.4,212.3
NICOBAR,1969,156.5,59.1,54.9,41.6,227.0,299.2,154.2,388.4,296.3,245.5,418.7,169.7
NICOBAR,1970,109.1,137.3,14.1,88.9,396.0,251.2,254.0,257.8,194.7,411.1,283.3,366.7
NICOBAR,1971,158.3,116.6,101.4,36.8,620.0,268.3,212.8,148.6,378.7,489.2,165.7,372.7
NICOBAR,1972,27.2,0.6,29.1,218.4,121.4,173.9,297.3,267.3,384.9,200.6,280.6,173.7
NICOBAR,1973,67.1,35.7,78.2,105.9,477.4,555.0,185.6,217.3,329.8,317.1,427.6,670.3
NICOBAR,1974,68.8,90.8,46.1,387.6,187.8,162.9,207.9,383.4,389.0,279.5,504.3,167.0
NICOBAR,1975,258.4,78.5,33.6,76.4,301.3,313.6,111.9,268.0,432.9,530.4,513.3,165.5
NICOBAR,1976,0.0,20.0,2.5,227.2,323.6,338.5,214.7,414.6,393.8,190.7,507.2,273.1
NICOBAR,1977,33.0,136.7,14.7,18.0,242.3,301.3,276.5,117.3,304.9,238.9,406.6,220.4
NICOBAR,1978,79.4,33.6,66.7,144.4,233.6,477.8,484.8,157.8,193.4,203.4,120.0,175.0
NICOBAR,1979,106.9,27.2,17.1,53.5,123.0,336.0,381.9,162.8,247.9,191.4,625.7,57.0
NICOBAR,1980,24.0,3.5,40.4,98.6,385.0,562.9,535.6,400.9,207.3,293.3,221.8,577.6
NICOBAR,1981,24.1,99.6,7.6,170.1,249.8,357.7,331.2,179.6,149.1,194.6,330.0,212.4
NICOBAR,1982,9.7,12.3,20.9,78.0,230.3,278.2,207.4,154.8,189.5,182.5,276.2,194.9
NICOBAR,1983,77.8,0.0,13.5,40.0,407.8,237.2,415.9,307.4,602.5,311.0,456.8,176.9
NICOBAR,1984,226.1,123.4,67.8,227.1,179.9,353.7,192.4,58.3,281.1,256.7,249.6,515.9
NICOBAR,1985,34.6,73.7,84.2,101.5,343.2,124.4,97.9,191.0,222.5,395.0,211.9,169.5
